location,Basel,Basel,Basel,Basel,Basel,Basel,Basel
lat,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653,363.653,363.653,363.653,363.653
variable,Temperature,Precipitation Total,Relative Humidity,Wind Speed,Wind Direction,Cloud Cover Total,Sunshine Duration
unit,°C,mm,%,km/h,°,%,min
level,2 m elevation corrected,sfc,2 m,10 m,10 m,sfc,sfc
resolution,hourly,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Relative Humidity [2 m],Basel Wind Speed [10 m],Basel Wind Direction [10 m],Basel Cloud Cover Total,Basel Sunshine Duration
20220111T0500,-0.29975462,0.0,91.4587,6.6185193,22.380127,28.0,0.0
20220111T0600,0.6302454,0.0,89.14759,7.289444,20.224854,33.0,0.0
20220111T0700,0.9102454,0.0,89.1768,7.754637,21.801407,34.0,0.0
20220111T0800,1.1202455,0.0,88.806595,6.5693827,9.462311,37.0,28.54714
20220111T0900,1.6902454,0.0,88.02613,7.342588,11.309921,49.0,30.303032
20220111T1000,1.9902455,0.0,87.35501,10.30883,24.775131,48.0,30.90909
20220111T1100,2.7702456,0.0,81.77639,11.480557,41.18593,76.0,13.939394
20220111T1200,3.4902453,0.0,77.75489,11.720751,47.489548,54.0,27.272726
20220111T1300,3.9802456,0.0,73.153076,11.304229,52.76516,39.0,36.36364
20220111T1400,4.3202453,0.0,70.89914,10.514218,51.95294,20.0,47.878788
20220111T1500,3.9102454,0.0,75.58963,7.127636,44.999985,9.0,54.545452
20220111T1600,1.5402454,0.0,83.352005,6.4096174,38.157227,21.0,47.272724
20220111T1700,0.6902454,0.0,84.03543,7.289445,32.905228,20.0,1.5028621
20220111T1800,0.16024542,0.0,85.02969,8.0899935,32.275635,18.0,0.0
20220111T1900,-0.48975456,0.0,84.94145,7.9036193,30.068573,14.0,0.0
20220111T2000,-0.85975456,0.0,84.63624,7.289445,32.905228,8.0,0.0
20220111T2100,-1.0097545,0.0,83.79212,6.8777895,47.121094,5.0,0.0
20220111T2200,-1.3297546,0.0,84.63414,6.763786,64.79888,2.0,0.0
20220111T2300,-1.7397546,0.0,84.768425,6.519877,83.65981,4.0,0.0
20220112T0000,-2.1897545,0.0,85.54449,5.8603754,79.38034,5.0,0.0
20220112T0100,-2.5497546,0.0,85.95168,5.6920996,71.56504,6.0,0.0
20220112T0200,-2.7997546,0.0,85.266045,6.151683,69.443954,6.0,0.0
20220112T0300,-2.9797544,0.0,85.56699,5.8603754,79.38034,6.0,0.0
20220112T0400,-3.1897545,0.0,85.276924,5.506941,78.69006,5.0,0.0
20220112T0500,-3.1097546,0.0,84.18629,5.6920996,71.56504,8.1,0.0
20220112T0600,-3.1197548,0.0,83.41466,5.5887027,75.06858,19.800001,0.0
20220112T0700,-3.2597547,0.0,81.80736,5.0528407,85.91438,26.7,0.0
20220112T0800,-1.9497546,0.0,79.37598,3.7585104,73.30075,16.5,38.458332
20220112T0900,-0.7197546,0.0,76.114624,4.6938252,94.398705,6.0,56.363636
20220112T1000,0.2702454,0.0,72.051125,4.2136917,109.9831,6.0,56.363636
20220112T1100,1.2202454,0.0,68.33605,4.6102495,51.34018,11.0,53.333332
20220112T1200,1.7502455,0.0,67.792946,5.495161,31.607498,20.0,47.878788
20220112T1300,2.4202454,0.0,66.88893,5.1919937,33.690063,15.0,50.909096
20220112T1400,2.8202453,0.0,65.79163,6.297428,30.963745,9.0,54.545452
20220112T1500,2.4702454,0.0,71.182785,5.3999996,36.86989,5.0,56.9697
20220112T1600,0.3002454,0.0,79.88505,6.696387,53.746155,6.0,56.363636
20220112T1700,-1.0097545,0.0,84.55171,6.489992,70.55996,4.0,3.070707
20220112T1800,-1.7997545,0.0,86.63756,6.638072,49.398697,3.0,0.0
20220112T1900,-2.2097545,0.0,87.97177,5.8048253,60.25511,2.0,0.0
20220112T2000,-2.5197544,0.0,89.27682,4.452954,75.96376,1.0,0.0
20220112T2100,-3.0497546,0.0,90.24075,5.495161,58.392494,2.0,0.0
20220112T2200,-3.3897548,0.0,89.3848,3.396233,57.994614,0.0,0.0
20220112T2300,-3.6697545,0.0,89.76422,3.7585104,73.30075,1.0,0.0
20220113T0000,-3.8997545,0.0,90.56654,3.6179552,84.289406,3.0,0.0
20220113T0100,-3.979755,0.0,91.25326,3.6179552,84.289406,8.0,0.0
20220113T0200,-3.9197545,0.0,89.25767,3.671294,78.69006,13.0,0.0
20220113T0300,-4.1997547,0.0,90.46639,3.7585104,73.30075,11.0,0.0
20220113T0400,-4.2597547,0.0,89.76898,3.671294,78.69006,8.0,0.0
20220113T0500,-4.1997547,0.0,88.272026,3.0758414,69.443954,9.0,0.0
